Tamar,1,13139.70,2026-01-04T19:02:43.735346700,Harry Potter x1;Phone x1;T-Shirt x1;Laptop x3;
Tamar,2,2500.00,2026-01-04T19:03:20.708794300,Phone x1;
Shira,3,59.00,2026-01-04T19:06:33.019347600,T-Shirt x1;
Shira,4,2500.00,2026-01-04T19:24:49.200739400,Phone x1;
Eitan,5,2500.00,2026-01-04T19:24:54.334227700,Phone x1;
Tamar,6,80.70,2026-01-04T19:25:35.206197100,Harry Potter x1;
Guest-1,7,80.70,2026-01-04T22:49:49,Harry Potter x1;
Guest-1,8,59.00,2026-01-05T23:33:13,T-Shirt x1;
Guest-2,9,118.00,2026-01-05T23:35:43,T-Shirt x2;
Guest-1,10,80.70,2026-01-21T12:32:15,Harry Potter x1;
Guest-1,11,168.70,2026-01-22T15:09:05,HeadPhones x1;Harry Potter x1;T-Shirt x1;
Guest-1,12,9529.00,2026-01-22T16:16:24,Phone x1;HeadPhones x1;Laptop x2;
Guest-1,13,6168.70,2026-01-22T20:04:46,HeadPhones x1;Laptop x1;T-Shirt x1;Harry Potter x1;Phone x1;
Guest-1,14,6000.00,2026-01-22T20:05:29,Phone x1;Laptop x1;
Guest-1,15,29.50,2026-01-22T22:26:39,T-Shirt x1;
Guest-1,16,72.63,2026-01-22T23:07:21,Harry Potter x1;
Guest-1,17,80.70,2026-01-22T23:30:52,Harry Potter x1;
Guest-1,18,2500.00,2026-01-23T02:25:04,Phone x1;
Guest-1,19,1250.00,2026-01-23T02:27,Phone x1;
